account_code,provider,model,limiter_type,source,used_percent,limit_tokens,remaining_tokens,limit_requests,remaining_requests,reset_at,status,raw_json,updated_at
ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,,codex_reset_credits,usage_fallback,'-1,'-1,'-1,'-1,0,0,ok,"{""available_count"":0,""body_snippet"":""{\n  \""user_id\"": \""user-VJT2sn10bhpPHnLPXnIavWfA\"",\n  \""account_id\"": \""user-VJT2sn10bhpPHnLPXnIavWfA\"",\n  \""email\"": \""EMAIL-PQUONN62DMO7LRZOJDJSOIOOJE\"",\n  \""plan_type\"": \""plus\"",\n  \""rate_limit\"": {\n    \""allowed\"": false,\n    \""limit_reached\"": true,\n    \""primary_window\"": {\n      \""used_percent\"": 100,\n      \""limit_window_seconds\"": 604800,\n      \""reset_after_seconds\"": 487423,\n      \""reset_at\"": 1785920020\n    },\n    \""secondary_window\"": null\n  },\n  \""code_review_rate_limit\"": null,\n  \""additional_rate_limits\"": null,\n  \""credits\"": {\n    \""has_credits\"": false,\n    \""unlimited\"": false,\n    \""overage_limit_reached\"": false,\n    \""balance\"": \""0\"",\n    \""approx_local_messages\"": [\n      0,\n      0\n    ],\n    \""approx_cloud_messages\"": [\n      0,\n      0\n    ]\n  },\n  \""spend_control\"": {\n    \""reached\"": false,\n    \""individual_limit\"": null\n  },\n  \""rate_limit_reached_type\"": {\n    \""type\"": \""rate_limit_reached\"",\n    \""details\"": \""default\""\n  },\n  \""rate_limit_upsell\"": {\n    \""banner_type\"": \""plus_rate_limit_reached\"",\n    \""title\"": \""You're ou"",""known"":true,""source"":""usage_fallback"",""status"":""ok""}",1785432597
ACC-HH3MS4CH2YTRUI2AD4F5XY6VTU,codex,,5h_polled,5h_polled,100,'-1,'-1,0,0,1785903069,rejected,,1785432597
ACC-HH3MS4CH2YTRUI2AD4F5XY6VTU,codex,,codex_reset_credits,usage_fallback,'-1,'-1,'-1,'-1,0,0,ok,"{""available_count"":0,""body_snippet"":""{\n  \""user_id\"": \""user-PoNUuPf3RKQ7tk0Y8936PK0j\"",\n  \""account_id\"": \""user-PoNUuPf3RKQ7tk0Y8936PK0j\"",\n  \""email\"": \""EMAIL-2GI4I5UWOXUAMKKL5DDOPV4U7E\"",\n  \""plan_type\"": \""plus\"",\n  \""rate_limit\"": {\n    \""allowed\"": false,\n    \""limit_reached\"": true,\n    \""primary_window\"": {\n      \""used_percent\"": 100,\n      \""limit_window_seconds\"": 604800,\n      \""reset_after_seconds\"": 470472,\n      \""reset_at\"": 1785903068\n    },\n    \""secondary_window\"": null\n  },\n  \""code_review_rate_limit\"": null,\n  \""additional_rate_limits\"": null,\n  \""credits\"": {\n    \""has_credits\"": false,\n    \""unlimited\"": false,\n    \""overage_limit_reached\"": false,\n    \""balance\"": \""0\"",\n    \""approx_local_messages\"": [\n      0,\n      0\n    ],\n    \""approx_cloud_messages\"": [\n      0,\n      0\n    ]\n  },\n  \""spend_control\"": {\n    \""reached\"": false,\n    \""individual_limit\"": null\n  },\n  \""rate_limit_reached_type\"": {\n    \""type\"": \""rate_limit_reached\"",\n    \""details\"": \""default\""\n  },\n  \""rate_limit_upsell\"": {\n    \""banner_type\"": \""plus_rate_limit_reached\"",\n    \""title\"": \""You're out of"",""known"":true,""source"":""usage_fallback"",""status"":""ok""}",1785432597
ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,,5h_polled,5h_polled,100,'-1,'-1,0,0,1785920771,rejected,,1785432597
ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,,codex_reset_credits,usage_fallback,'-1,'-1,'-1,'-1,0,0,ok,"{""available_count"":0,""body_snippet"":""{\n  \""user_id\"": \""user-yak6J7w0P0X8CBcFoFgL72Bp\"",\n  \""account_id\"": \""user-yak6J7w0P0X8CBcFoFgL72Bp\"",\n  \""email\"": \""EMAIL-MZBHEXZ7MZKPQAP45PFA667IZM\"",\n  \""plan_type\"": \""plus\"",\n  \""rate_limit\"": {\n    \""allowed\"": false,\n    \""limit_reached\"": true,\n    \""primary_window\"": {\n      \""used_percent\"": 100,\n      \""limit_window_seconds\"": 604800,\n      \""reset_after_seconds\"": 488174,\n      \""reset_at\"": 1785920770\n    },\n    \""secondary_window\"": null\n  },\n  \""code_review_rate_limit\"": null,\n  \""additional_rate_limits\"": null,\n  \""credits\"": {\n    \""has_credits\"": false,\n    \""unlimited\"": false,\n    \""overage_limit_reached\"": false,\n    \""balance\"": \""0\"",\n    \""approx_local_messages\"": [\n      0,\n      0\n    ],\n    \""approx_cloud_messages\"": [\n      0,\n      0\n    ]\n  },\n  \""spend_control\"": {\n    \""reached\"": false,\n    \""individual_limit\"": null\n  },\n  \""rate_limit_reached_type\"": {\n    \""type\"": \""rate_limit_reached\"",\n    \""details\"": \""default\""\n  },\n  \""rate_limit_upsell\"": {\n    \""banner_type\"": \""plus_rate_limit_reached\"",\n    \""title\"": \""You're out of "",""known"":true,""source"":""usage_fallback"",""status"":""ok""}",1785432597
ACC-OWBQQZUPFT7GVHF6NPYMAYFFCU,codex,,codex_reset_credits,usage_fallback,'-1,'-1,'-1,'-1,0,0,ok,"{""available_count"":0,""body_snippet"":""{\n  \""user_id\"": \""user-odWfvzcHFjylGH6tsRYs4LNP\"",\n  \""account_id\"": \""user-odWfvzcHFjylGH6tsRYs4LNP\"",\n  \""email\"": \""EMAIL-FEUVPFOOCAB5L66BR363QELDIA\"",\n  \""plan_type\"": \""plus\"",\n  \""rate_limit\"": {\n    \""allowed\"": true,\n    \""limit_reached\"": false,\n    \""primary_window\"": {\n      \""used_percent\"": 41,\n      \""limit_window_seconds\"": 604800,\n      \""reset_after_seconds\"": 489673,\n      \""reset_at\"": 1785922269\n    },\n    \""secondary_window\"": null\n  },\n  \""code_review_rate_limit\"": null,\n  \""additional_rate_limits\"": null,\n  \""credits\"": {\n    \""has_credits\"": false,\n    \""unlimited\"": false,\n    \""overage_limit_reached\"": false,\n    \""balance\"": \""0\"",\n    \""approx_local_messages\"": [\n      0,\n      0\n    ],\n    \""approx_cloud_messages\"": [\n      0,\n      0\n    ]\n  },\n  \""spend_control\"": {\n    \""reached\"": false,\n    \""individual_limit\"": null\n  },\n  \""rate_limit_reached_type\"": null,\n  \""promo\"": null,\n  \""rate_limit_reset_credits\"": {\n    \""available_count\"": 0,\n    \""applicable_available_count\"": 0\n  }\n}"",""known"":true,""source"":""usage_fallback"",""status"":""ok""}",1785432597
ACC-V5HUEWZFSBH45DWE5GJJ5SM4LA,codex,,5h_polled,5h_polled,100,'-1,'-1,0,0,1785902990,rejected,,1785432597
ACC-V5HUEWZFSBH45DWE5GJJ5SM4LA,codex,,codex_reset_credits,usage_fallback,'-1,'-1,'-1,'-1,0,0,ok,"{""available_count"":0,""body_snippet"":""{\n  \""user_id\"": \""user-gdP5NNttsU0vYp6gv7CS1lAk\"",\n  \""account_id\"": \""user-gdP5NNttsU0vYp6gv7CS1lAk\"",\n  \""email\"": \""EMAIL-KRZA63TZQGDHC72WLKLOIWOEHQ\"",\n  \""plan_type\"": \""plus\"",\n  \""rate_limit\"": {\n    \""allowed\"": false,\n    \""limit_reached\"": true,\n    \""primary_window\"": {\n      \""used_percent\"": 100,\n      \""limit_window_seconds\"": 604800,\n      \""reset_after_seconds\"": 470393,\n      \""reset_at\"": 1785902990\n    },\n    \""secondary_window\"": null\n  },\n  \""code_review_rate_limit\"": null,\n  \""additional_rate_limits\"": null,\n  \""credits\"": {\n    \""has_credits\"": false,\n    \""unlimited\"": false,\n    \""overage_limit_reached\"": false,\n    \""balance\"": \""0\"",\n    \""approx_local_messages\"": [\n      0,\n      0\n    ],\n    \""approx_cloud_messages\"": [\n      0,\n      0\n    ]\n  },\n  \""spend_control\"": {\n    \""reached\"": false,\n    \""individual_limit\"": null\n  },\n  \""rate_limit_reached_type\"": {\n    \""type\"": \""rate_limit_reached\"",\n    \""details\"": \""default\""\n  },\n  \""rate_limit_upsell\"": {\n    \""banner_type\"": \""plus_rate_limit_reached\"",\n    \""title\"": \""You're out of"",""known"":true,""source"":""usage_fallback"",""status"":""ok""}",1785432597
ACC-NK6ZSGVDHFYJ7XPOALJSGRBZ7I,claude,,7d_oauth_usage,7d_oauth_usage,13,'-1,'-1,'-1,'-1,1785596400,allowed,"{""limit_dollars"":null,""remaining_dollars"":null,""resets_at"":""2026-08-01T15:00:00.152135+00:00"",""used_dollars"":null,""utilization"":13}",1785432597
ACC-NK6ZSGVDHFYJ7XPOALJSGRBZ7I,claude,,5h_oauth_usage,5h_oauth_usage,100,'-1,'-1,'-1,'-1,1785447599,allowed,"{""oauth_rate_limit_tier"":"""",""plan_type"":"""",""primary"":{""limit_dollars"":null,""remaining_dollars"":null,""resets_at"":""2026-07-30T21:39:59.152109+00:00"",""used_dollars"":null,""utilization"":100},""secondary"":{""limit_dollars"":null,""remaining_dollars"":null,""resets_at"":""2026-08-01T15:00:00.152135+00:00"",""used_dollars"":null,""utilization"":13}}",1785432597
ACC-2K2OJBSXIQE2SYJVU5WZABT4NI,codex,,5h_polled,5h_polled,95,'-1,'-1,0,0,1785903010,allowed_warning,,1785432596
ACC-2K2OJBSXIQE2SYJVU5WZABT4NI,codex,,codex_reset_credits,usage_fallback,'-1,'-1,'-1,'-1,0,0,ok,"{""available_count"":0,""body_snippet"":""{\n  \""user_id\"": \""user-4qOaTXpvPD3BM2jMpC5UMCec\"",\n  \""account_id\"": \""user-4qOaTXpvPD3BM2jMpC5UMCec\"",\n  \""email\"": \""EMAIL-OJVBO4MQYSPZNYBO243IWXZBIQ\"",\n  \""plan_type\"": \""plus\"",\n  \""rate_limit\"": {\n    \""allowed\"": true,\n    \""limit_reached\"": false,\n    \""primary_window\"": {\n      \""used_percent\"": 95,\n      \""limit_window_seconds\"": 604800,\n      \""reset_after_seconds\"": 470414,\n      \""reset_at\"": 1785903010\n    },\n    \""secondary_window\"": null\n  },\n  \""code_review_rate_limit\"": null,\n  \""additional_rate_limits\"": null,\n  \""credits\"": {\n    \""has_credits\"": false,\n    \""unlimited\"": false,\n    \""overage_limit_reached\"": false,\n    \""balance\"": \""0\"",\n    \""approx_local_messages\"": [\n      0,\n      0\n    ],\n    \""approx_cloud_messages\"": [\n      0,\n      0\n    ]\n  },\n  \""spend_control\"": {\n    \""reached\"": false,\n    \""individual_limit\"": null\n  },\n  \""rate_limit_reached_type\"": null,\n  \""promo\"": null,\n  \""rate_limit_reset_credits\"": {\n    \""available_count\"": 0,\n    \""applicable_available_count\"": 0\n  }\n}"",""known"":true,""source"":""usage_fallback"",""status"":""ok""}",1785432596
ACC-AHBCFSVVRS6LD7SODZNCOJQAZU,codex,,codex_reset_credits,usage_fallback,'-1,'-1,'-1,'-1,0,0,ok,"{""available_count"":0,""body_snippet"":""{\n  \""user_id\"": \""user-SN1onovW6AGoEzqtSW0PwUB1\"",\n  \""account_id\"": \""user-SN1onovW6AGoEzqtSW0PwUB1\"",\n  \""email\"": \""EMAIL-UAQQVCJPIQ3MLQFR7P7HQDLE7U\"",\n  \""plan_type\"": \""plus\"",\n  \""rate_limit\"": {\n    \""allowed\"": true,\n    \""limit_reached\"": false,\n    \""primary_window\"": {\n      \""used_percent\"": 91,\n      \""limit_window_seconds\"": 604800,\n      \""reset_after_seconds\"": 470412,\n      \""reset_at\"": 1785903008\n    },\n    \""secondary_window\"": null\n  },\n  \""code_review_rate_limit\"": null,\n  \""additional_rate_limits\"": null,\n  \""credits\"": {\n    \""has_credits\"": false,\n    \""unlimited\"": false,\n    \""overage_limit_reached\"": false,\n    \""balance\"": \""0\"",\n    \""approx_local_messages\"": [\n      0,\n      0\n    ],\n    \""approx_cloud_messages\"": [\n      0,\n      0\n    ]\n  },\n  \""spend_control\"": {\n    \""reached\"": false,\n    \""individual_limit\"": null\n  },\n  \""rate_limit_reached_type\"": null,\n  \""promo\"": null,\n  \""rate_limit_reset_credits\"": {\n    \""available_count\"": 0,\n    \""applicable_available_count\"": 0\n  }\n}"",""known"":true,""source"":""usage_fallback"",""status"":""ok""}",1785432596
ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM,codex,,codex_reset_credits,usage_fallback,'-1,'-1,'-1,'-1,0,0,ok,"{""available_count"":0,""body_snippet"":""{\n  \""user_id\"": \""user-H1Z2tFnG5OdaYc1MDBzf1Ak4\"",\n  \""account_id\"": \""user-H1Z2tFnG5OdaYc1MDBzf1Ak4\"",\n  \""email\"": \""ACC-YRPLDQBRRHOQWDM6Q3WWM3VAWM\"",\n  \""plan_type\"": \""pro\"",\n  \""rate_limit\"": {\n    \""allowed\"": true,\n    \""limit_reached\"": false,\n    \""primary_window\"": {\n      \""used_percent\"": 3,\n      \""limit_window_seconds\"": 604800,\n      \""reset_after_seconds\"": 487312,\n      \""reset_at\"": 1785919907\n    },\n    \""secondary_window\"": null\n  },\n  \""code_review_rate_limit\"": null,\n  \""additional_rate_limits\"": [\n    {\n      \""limit_name\"": \""GPT-5.3-Codex-Spark\"",\n      \""metered_feature\"": \""codex_bengalfox\"",\n      \""rate_limit\"": {\n        \""allowed\"": true,\n        \""limit_reached\"": false,\n        \""primary_window\"": {\n          \""used_percent\"": 0,\n          \""limit_window_seconds\"": 604800,\n          \""reset_after_seconds\"": 604800,\n          \""reset_at\"": 1786037396\n        },\n        \""secondary_window\"": null\n      }\n    }\n  ],\n  \""credits\"": {\n    \""has_credits\"": false,\n    \""unlimited\"": false,\n    \""overage_limit_reached\"": false,\n    \""ba"",""known"":true,""source"":""usage_fallback"",""status"":""ok""}",1785432596
ACC-NK6ZSGVDHFYJ7XPOALJSGRBZ7I,claude,claude-opus-5,unified,unified,'-1,'-1,'-1,'-1,'-1,1785447600,allowed_warning,"{""anthropic-ratelimit-unified-5h-reset"":""1785447600"",""anthropic-ratelimit-unified-5h-status"":""allowed_warning"",""TOKEN-M3KLMJ6QT7O5NIDRX7WUJ7KABI"":""0.9"",""TOKEN-LF4GSM3WO6FKLY3FCTUYH2QBPE"":""0.97"",""anthropic-ratelimit-unified-7d-reset"":""1785596400"",""anthropic-ratelimit-unified-7d-status"":""allowed"",""TOKEN-VISV5HJHDBBWKSNIVJQDAS3BYY"":""0.11"",""anthropic-ratelimit-unified-fallback"":""available"",""TOKEN-PBBZFMYG67VRS57D3MXUE3ZHPQ"":""0.5"",""TOKEN-PQCCMIMTGK5KHGBBV67SQR5B2U"":""org_level_disabled"",""TOKEN-BPYAII5N7M33JKQUZARMTGGPHM"":""rejected"",""TOKEN-6OLLGTNDSE4Q6AMD5PYVRDMTKY"":""five_hour"",""anthropic-ratelimit-unified-reset"":""1785447600"",""anthropic-ratelimit-unified-status"":""allowed_warning"",""TOKEN-WXXRG36ZFQ66KGLLBERXWCMAZU"":""upgrade_plan""}",1785431739
ACC-NK6ZSGVDHFYJ7XPOALJSGRBZ7I,claude,claude-opus-4-6,unified,unified,'-1,'-1,'-1,'-1,'-1,1785447600,allowed,"{""anthropic-ratelimit-unified-5h-reset"":""1785447600"",""anthropic-ratelimit-unified-5h-status"":""allowed"",""TOKEN-LF4GSM3WO6FKLY3FCTUYH2QBPE"":""0.13"",""anthropic-ratelimit-unified-7d-reset"":""1785596400"",""anthropic-ratelimit-unified-7d-status"":""allowed"",""TOKEN-VISV5HJHDBBWKSNIVJQDAS3BYY"":""0.06"",""TOKEN-PBBZFMYG67VRS57D3MXUE3ZHPQ"":""0.5"",""TOKEN-PQCCMIMTGK5KHGBBV67SQR5B2U"":""org_level_disabled"",""TOKEN-BPYAII5N7M33JKQUZARMTGGPHM"":""rejected"",""TOKEN-6OLLGTNDSE4Q6AMD5PYVRDMTKY"":""five_hour"",""anthropic-ratelimit-unified-reset"":""1785447600"",""anthropic-ratelimit-unified-status"":""allowed""}",1785430841
ACC-JX6NDCRVSN4MFKTOPLQXZMNOUI,codex,,quota_poll_error,quota_poll_error,'-1,'-1,'-1,'-1,'-1,0,error/http_error,"{""body_snippet"":""upstream connect error or disconnect/reset before headers. retried and the latest reset reason: remote connection failure, transport failure reason: delayed connect error: Connection refused"",""error"":""http 503: upstream connect error or disconnect/reset before headers. retried and the latest reset reason: remote connection failure, transport failure reason: delayed connect error: Connection refused"",""http_status"":503,""sync_reason"":""error/http_error""}",1785416696
ACC-V5HUEWZFSBH45DWE5GJJ5SM4LA,codex,,quota_poll_error,quota_poll_error,'-1,'-1,'-1,'-1,'-1,0,error/http_error,"{""body_snippet"":""{\""detail\"":\""Unable to check usage. Please try again later.\""}"",""error"":""http 503: {\""detail\"":\""Unable to check usage. Please try again later.\""}"",""http_status"":503,""sync_reason"":""error/http_error""}",1785414897
